mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,ablation,split_seed,lambda_cost,train_fraction,train_query_count
0.7489566751265249,0.014489814376040999,0.7820166647098581,0.26786573961540533,flat_routecode_utility_oracle,32,0.737130726961076,0.7642323060030527,1.0099812675505258,0.9455169577910683,2.335736808203164,5.0,4.824594870479039,k_lambda,,0.1,,
0.7463754869239133,0.017071002578652485,0.77854074734058,0.26061627302436124,d2_embedding_centroid,32,0.7322176763828253,0.7614141298466222,0.9996140503900378,0.9358114514165617,2.3157717134481937,5.0,4.845868457688496,k_lambda,,0.1,,
0.7464715791118761,0.016974910390689688,0.7785228395285428,0.2596925977691352,semantic_embedding_kmeans,64,0.7318201955217545,0.7602174660850081,1.0,0.9361727669308159,2.3119630468159187,6.0,5.6644326472338715,k_lambda,,0.1,,
0.7493952655437781,0.014051223958787766,0.7865524322104448,0.3010627667044779,flat_routecode_utility_oracle,64,0.7355844011625305,0.763587765623844,1.011742844678289,0.9471660983249286,2.364188926788953,6.0,5.827699629305602,k_lambda,,0.1,,
0.7487872996982939,0.01465918980427192,0.7813697580316272,0.26399658348187766,d2_embedding_centroid,64,0.7340217258199088,0.7609475544614529,1.0093009793621852,0.9448800905154792,2.310950977532315,6.0,5.715278006571226,k_lambda,,0.1,,
0.7455242888932936,0.017922200609272187,0.7779188826432936,0.26247442675417276,semantic_embedding_kmeans,128,0.7308057669033698,0.7584751579347673,0.996195254805475,0.9326108680945907,2.318567784415114,7.0,6.456262682651804,k_lambda,,0.1,,
0.7516574837960219,0.011789005706543893,0.7869561087960218,0.2860040917193324,flat_routecode_utility_oracle,128,0.7384949806915317,0.7640263296364742,1.0208289345115302,0.9556722481846959,2.358878505784798,7.0,6.652263406212668,k_lambda,,0.1,,
0.7478241612158042,0.015622328286761526,0.7800532237158042,0.26113322395073735,d2_embedding_centroid,128,0.7338086466651722,0.7614644062775408,1.005432580384733,0.9412586007411655,2.3016451733575254,7.0,6.4745892108638765,k_lambda,,0.1,,
0.33147587696354675,0.3446130948651717,0.4881008769635468,0.3625830497488252,best_single,,0.3107564266478084,0.3551441653082996,0.0,0.0,0.0,0.0,,k_lambda,,0.35,,
0.5584147421011684,0.1176742297275502,0.6527062004345017,0.21828242316210228,semantic_embedding_kmeans,4,0.5354657325135431,0.5845330928818081,0.6776973892741747,0.6585323324013856,1.938334741723672,2.0,1.938334741723672,k_lambda,,0.35,,
0.6376137242221646,0.03847524760655405,0.7357292606804979,0.22713507062604657,flat_routecode_utility_oracle,4,0.6198322686019712,0.6551972235225039,0.9142057695554565,0.8883523343139142,1.9150156305855939,2.0,1.9150156305855937,k_lambda,,0.35,,
0.5538431717373018,0.1222458000914167,0.6361045467373019,0.1904330740560687,d2_embedding_centroid,4,0.5285597861371027,0.576626424438069,0.6640455130360664,0.6452665266848178,1.5630443273598869,2.0,1.9161208346919192,k_lambda,,0.35,,
0.6349587331250388,0.04113023870367972,0.7411348060417055,0.24579501566466808,semantic_embedding_kmeans,8,0.6128444258527106,0.6559863923968017,0.9062772883145851,0.880648067886765,2.143337205409796,3.0,2.930424622784659,k_lambda,,0.35,,
0.6603648438059598,0.01572412802275868,0.7759571198476266,0.26759329592718634,flat_routecode_utility_oracle,8,0.6448595303497238,0.6746798692045284,0.982146421041717,0.9543716467625504,2.1769373341937484,3.0,2.9765137305101943,k_lambda,,0.35,,
0.6339397525403156,0.042149219288402866,0.7393105337903157,0.24393078512396696,d2_embedding_centroid,8,0.6158314045635762,0.654925921652395,0.9032343521406988,0.8776911849362729,2.139367533660844,3.0,2.9350778265223734,k_lambda,,0.35,,
0.6663434280702095,0.009745543758509088,0.7785228395285428,0.2596925977691352,semantic_embedding_kmeans,16,0.6495528544209658,0.6830867230464422,1.0,0.971720332443194,2.3119630468159187,4.0,3.7224842443123496,k_lambda,,0.35,,
0.6673325081012149,0.00875646372750351,0.7723213883095483,0.2430466935396748,flat_routecode_utility_oracle,16,0.652634574241496,0.6829396113646167,1.0029536454868102,0.9745904498175566,2.2998237339356313,4.0,3.9156195959938684,k_lambda,,0.35,,
0.6659623358822467,0.010126635946471889,0.77854074734058,0.26061627302436124,d2_embedding_centroid,16,0.6517553436835852,0.6821633621948653,0.9988619614330999,0.9706144772286326,2.3157717134481937,4.0,3.8053689292420416,k_lambda,,0.35,,
