heldout_model_type,method,budget,mean_utility,mean_quality,regret_to_full_calibration,n_new_model_evals,new_model_selection_rate,training_time_s
frontier,embedding_cluster_calibration,160,0.6047853399621238,0.7267441860465116,-0.0013032282017430008,160.0,0.22028423772609818,0.0
frontier,calibration_aware_route_state,320,0.7393466765206232,0.7816537467700259,0.00018284963800521383,320.0,0.13436692506459946,0.0
frontier,active_route_state_calibration,320,0.6777287877218635,0.7790697674418605,-0.0054050757079644835,320.0,0.18410852713178294,0.0
frontier,random_query_route_state_calibration,320,0.6772002827155473,0.7803617571059431,-0.004876570701648276,320.0,0.20348837209302326,0.0
frontier,uniform_route_state_calibration,320,0.6772002827155473,0.7803617571059431,-0.004876570701648276,320.0,0.14405684754521964,0.0
frontier,dataset_stratified_calibration,320,0.66447422655362,0.7732558139534884,0.0,320.0,0.1937984496124031,0.0
frontier,direct_probe_regressor_retrain,320,0.6616816071772783,0.7241602067183462,0.0019981697583889074,320.0,0.1479328165374677,0.03490688855446125
frontier,embedding_cluster_calibration,320,0.6039165211609618,0.7422480620155039,-0.00043440940058100025,320.0,0.22028423772609818,0.0
frontier,calibration_aware_route_state,640,0.7395295261586284,0.7790697674418605,0.0,516.0,0.12790697674418605,0.0
frontier,active_route_state_calibration,640,0.6723237120138991,0.7906976744186046,0.0,516.0,0.18410852713178294,0.0
frontier,random_query_route_state_calibration,640,0.6723237120138991,0.7906976744186046,0.0,516.0,0.18410852713178294,0.0
frontier,uniform_route_state_calibration,640,0.6723237120138991,0.7906976744186046,0.0,516.0,0.18410852713178294,0.0
frontier,dataset_stratified_calibration,640,0.66447422655362,0.7732558139534884,0.0,516.0,0.1937984496124031,0.0
frontier,direct_probe_regressor_retrain,640,0.6636797769356672,0.7267441860465116,0.0,516.0,0.14728682170542634,0.03464980088918108
frontier,embedding_cluster_calibration,640,0.6034821117603808,0.75,0.0,516.0,0.25387596899224807,0.0
medium_local,calibration_aware_route_state,20,0.6895164507536249,0.7296511627906977,0.05001307540500357,20.0,0.17926356589147285,0.0
medium_local,direct_probe_regressor_retrain,20,0.6653980483330179,0.7257751937984495,-0.0013919367934267697,20.0,0.13953488372093023,0.035000065833931636
medium_local,random_query_route_state_calibration,20,0.648420830387846,0.748062015503876,0.023902881626053047,20.0,0.1550387596899225,0.0
medium_local,active_route_state_calibration,20,0.626063363387805,0.7325581395348837,0.04626034862609411,20.0,0.23740310077519378,0.0
medium_local,dataset_stratified_calibration,20,0.6089607305963812,0.687984496124031,0.05842047270142483,20.0,0.31007751937984496,0.0
medium_local,uniform_route_state_calibration,20,0.6039439645668548,0.689922480620155,0.06837974744704421,20.0,0.3856589147286822,0.0
medium_local,embedding_cluster_calibration,20,0.5732425205899135,0.6967054263565892,0.03314656791465328,20.0,0.27228682170542634,0.0
medium_local,calibration_aware_route_state,40,0.7073603278351902,0.74515503875969,0.032169198323438265,40.0,0.1434108527131783,0.0
medium_local,direct_probe_regressor_retrain,40,0.6777914819815415,0.7393410852713179,-0.013785370441950403,40.0,0.07364341085271318,0.034871048833641304
medium_local,active_route_state_calibration,40,0.6646968677187777,0.7742248062015503,0.0076268442951214115,40.0,0.11046511627906978,0.0
medium_local,random_query_route_state_calibration,40,0.6626337895332789,0.7810077519379846,0.009689922480620136,40.0,0.08236434108527131,0.0
medium_local,dataset_stratified_calibration,40,0.6450702786554868,0.7335271317829458,0.02231092464231919,40.0,0.1744186046511628,0.0
medium_local,uniform_route_state_calibration,40,0.6443208063120953,0.75484496124031,0.02800290570180371,40.0,0.21027131782945738,0.0
medium_local,embedding_cluster_calibration,40,0.5908074116376266,0.7267441860465116,0.015581676866940286,40.0,0.1511627906976744,0.0
medium_local,calibration_aware_route_state,80,0.7211674727290237,0.7577519379844961,0.018362053429604824,80.0,0.18410852713178294,0.0
medium_local,direct_probe_regressor_retrain,80,0.6772740100537306,0.7374031007751937,-0.013267898514139434,80.0,0.12112403100775193,0.03482254683331121
medium_local,random_query_route_state_calibration,80,0.6723237120138991,0.7906976744186046,0.0,80.0,0.01065891472868217,0.0
medium_local,active_route_state_calibration,80,0.6646968677187777,0.7742248062015503,0.0076268442951214115,80.0,0.0998062015503876,0.0
medium_local,uniform_route_state_calibration,80,0.6646696435213977,0.7751937984496123,0.007654068492501405,80.0,0.05910852713178295,0.0
medium_local,dataset_stratified_calibration,80,0.6479423475767432,0.7383720930232558,0.019438855721062836,80.0,0.13565891472868216,0.0
