group_method,deployability,split,n_groups,n_group_model_cells,weighted_utility_variance,weighted_quality_variance,mean_ci_width_utility_95,traffic_weighted_ci_width_utility_95,median_samples_needed_for_0p03,traffic_weighted_samples_needed_for_0p03
predicted_utility_state_rf_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,train,12,72,0.11859383672032096,0.09883772544724938,0.18996658959801804,0.1805045435310268,412.0,506.6578083989501
predicted_utility_state_extratrees_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,36,0.1206850274017061,0.10537670074503622,0.14784093160012807,0.13902250134633434,510.0,515.5938320209974
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,36,0.12308586856937191,0.10710593003246491,0.14975913820482617,0.14126390444797138,498.5,525.9737532808399
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,train,8,48,0.12352102598346143,0.10716986449613043,0.17091473943954036,0.1608314767501629,500.5,527.8021653543307
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,train,8,48,0.12382815742310505,0.10683113433257216,0.16953296992696118,0.15947949127904643,532.0,529.0469160104986
predicted_utility_state_extratrees_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,train,4,24,0.1332204682339039,0.11706815420263499,0.12823882579138665,0.12095950950740982,563.5,569.0961286089239
predicted_utility_state_extratrees_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,train,4,24,0.13499640876964347,0.11821119065895051,0.12832422593140871,0.1216113662731717,574.5,576.8116797900262
predicted_utility_state_rf_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,36,0.13572790168469728,0.12007092287061708,0.1579215959848306,0.1507859734460613,566.5,579.8120078740158
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,train,6,36,0.1376142312170502,0.12118434563237789,0.15851737787853382,0.15189704496187412,561.5,587.8966535433071
predicted_utility_state_rf_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,train,4,24,0.14163815096556878,0.12445125187201511,0.13287534823927152,0.12537259991197514,577.0,605.0400262467192
predicted_utility_state_rf_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,train,4,24,0.1428775563282038,0.12539274598119454,0.13338609764734702,0.1260343768212207,604.5,610.3940288713911
benchmark_label,diagnostic_label,train,9,54,0.18283628106773023,0.1650798636861188,0.2015794419508552,0.20700891785128775,836.5,780.9488188976378
text_cluster_k8,train_fit_text_cluster,train,8,47,0.19232113188974884,0.1748618597860448,0.21614878520947436,0.19539520580679307,806.0,821.3851706036745
random_k8,random_baseline,train,8,48,0.27074646157979393,0.23677565274764678,0.2547893394232426,0.25369624029841864,1060.5,1156.1227034120734
