method,view,min_leaf,n_states,split,n_queries,state_accuracy,adjusted_rand,mean_confidence,mean_utility,oracle_utility,oracle_utility_ratio,oracle_regret,frontier_call_rate,local_call_rate,state_entropy_bits,error_rate
student::random_forest,semantic_pca8_plus_probe,10,8,train,492,0.9979674796747967,0.9962307634331842,0.8902517054818635,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.76351404504841,0.0020325203252032522
student::random_forest,probe_only,20,8,train,492,0.9979674796747967,0.9957205491310608,0.8629662610787044,0.6163350149939767,0.771075167214996,0.7993189784856944,0.15474015222101933,0.11788617886178862,0.8821138211382114,2.9023785203374057,0.0020325203252032522
student::random_forest,probe_only,40,8,train,492,0.9979674796747967,0.9949981327357305,0.8517397967069363,0.6066596886038228,0.771075167214996,0.786771140348072,0.16441547861117325,0.1991869918699187,0.8008130081300813,2.971748768478832,0.0020325203252032522
student::random_forest,semantic_pca8_plus_probe,40,8,train,492,0.9979674796747967,0.9949981327357305,0.8484756194234385,0.6066596886038228,0.771075167214996,0.786771140348072,0.16441547861117325,0.1991869918699187,0.8008130081300813,2.971748768478832,0.0020325203252032522
student::random_forest,semantic_pca8_plus_probe,20,8,train,492,0.9959349593495935,0.9907388815447715,0.8606265938855635,0.6163350149939767,0.771075167214996,0.7993189784856944,0.15474015222101933,0.11788617886178862,0.8821138211382114,2.904579566301561,0.0040650406504065045
student::random_forest,probe_only,30,8,train,492,0.9939024390243902,0.9869690670955382,0.8617339084072041,0.6061724133679605,0.771075167214996,0.7861391977611745,0.1649027538470356,0.11788617886178862,0.8821138211382114,2.911162732358691,0.006097560975609756
student::random_forest,semantic_pca8_plus_probe,30,8,train,492,0.9939024390243902,0.9869690670955382,0.8615973381723198,0.6061724133679605,0.771075167214996,0.7861391977611745,0.1649027538470356,0.11788617886178862,0.8821138211382114,2.911162732358691,0.006097560975609756
student::tree_classifier,probe_only,5,8,train,492,0.9857723577235772,0.9886967289856649,0.9857723577235772,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.734153889349854,0.014227642276422764
student::tree_classifier,semantic_pca8_plus_probe,5,8,train,492,0.9857723577235772,0.9886967289856649,0.9857723577235772,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.734153889349854,0.014227642276422764
student::tree_classifier,probe_only,10,8,train,492,0.975609756097561,0.9770328347595618,0.975609756097561,0.6141308736895706,0.771075167214996,0.7964604487364263,0.15694429352542527,0.35365853658536583,0.6463414634146342,2.7294166347167246,0.024390243902439025
student::tree_classifier,semantic_pca8_plus_probe,10,8,train,492,0.975609756097561,0.9770328347595618,0.975609756097561,0.6141308736895706,0.771075167214996,0.7964604487364263,0.15694429352542527,0.35365853658536583,0.6463414634146342,2.7294166347167246,0.024390243902439025
student::tree_classifier,probe_only,30,8,train,492,0.9695121951219512,0.9391621187500453,0.9695121951219512,0.6041398930427572,0.771075167214996,0.7835032416162705,0.16693527417223886,0.11788617886178862,0.8821138211382114,2.880504732730466,0.03048780487804878
student::tree_classifier,semantic_pca8_plus_probe,30,8,train,492,0.9695121951219512,0.9391621187500453,0.9695121951219512,0.6041398930427572,0.771075167214996,0.7835032416162705,0.16693527417223886,0.11788617886178862,0.8821138211382114,2.880504732730466,0.03048780487804878
student::tree_classifier,probe_only,20,8,train,492,0.943089430894309,0.9356534887329315,0.943089430894309,0.5960098117419442,0.771075167214996,0.7729594170366545,0.17506535547305185,0.11788617886178862,0.8821138211382114,2.77909536108843,0.056910569105691054
student::tree_classifier,semantic_pca8_plus_probe,20,8,train,492,0.943089430894309,0.9356534887329315,0.943089430894309,0.5960098117419442,0.771075167214996,0.7729594170366545,0.17506535547305185,0.11788617886178862,0.8821138211382114,2.77909536108843,0.056910569105691054
tree_exact_state_assignment,probe_only,5,8,val,152,1.0,1.0,1.0,0.5796256051684491,0.7838220990400472,0.7394861740672034,0.20419649387159805,0.3815789473684211,0.618421052631579,2.6836470355684403,0.0
tree_exact_state_assignment,probe_only,10,8,val,152,1.0,1.0,1.0,0.5796256051684491,0.7838220990400472,0.7394861740672034,0.20419649387159805,0.3815789473684211,0.618421052631579,2.6836470355684403,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,5,8,val,152,1.0,1.0,1.0,0.5796256051684491,0.7838220990400472,0.7394861740672034,0.20419649387159805,0.3815789473684211,0.618421052631579,2.6836470355684403,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,10,8,val,152,1.0,1.0,1.0,0.5796256051684491,0.7838220990400472,0.7394861740672034,0.20419649387159805,0.3815789473684211,0.618421052631579,2.6836470355684403,0.0
tree_exact_state_assignment,probe_only,40,8,val,152,1.0,1.0,1.0,0.5750477267103073,0.7838220990400472,0.7336457180967118,0.20877437232973986,0.2631578947368421,0.7368421052631579,2.9035178478996855,0.0
student::tree_classifier,probe_only,40,8,val,152,1.0,1.0,1.0,0.5750477267103073,0.7838220990400472,0.7336457180967118,0.20877437232973986,0.2631578947368421,0.7368421052631579,2.9035178478996855,0.0
student::histgb,probe_only,40,8,val,152,1.0,1.0,0.9996334738561129,0.5750477267103073,0.7838220990400472,0.7336457180967118,0.20877437232973986,0.2631578947368421,0.7368421052631579,2.9035178478996855,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,40,8,val,152,1.0,1.0,1.0,0.5750477267103073,0.7838220990400472,0.7336457180967118,0.20877437232973986,0.2631578947368421,0.7368421052631579,2.9035178478996855,0.0
student::tree_classifier,semantic_pca8_plus_probe,40,8,val,152,1.0,1.0,1.0,0.5750477267103073,0.7838220990400472,0.7336457180967118,0.20877437232973986,0.2631578947368421,0.7368421052631579,2.9035178478996855,0.0
student::histgb,semantic_pca8_plus_probe,40,8,val,152,1.0,1.0,0.9996870391892488,0.5750477267103073,0.7838220990400472,0.7336457180967118,0.20877437232973986,0.2631578947368421,0.7368421052631579,2.9035178478996855,0.0
tree_exact_state_assignment,probe_only,20,8,val,152,1.0,1.0,1.0,0.5642515530832275,0.7838220990400472,0.7198719630057262,0.21957054595681957,0.11842105263157894,0.881578947368421,2.8353496145006627,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,20,8,val,152,1.0,1.0,1.0,0.5642515530832275,0.7838220990400472,0.7198719630057262,0.21957054595681957,0.11842105263157894,0.881578947368421,2.8353496145006627,0.0
tree_exact_state_assignment,probe_only,30,8,val,152,1.0,1.0,1.0,0.5510936583463855,0.7838220990400472,0.7030851248278328,0.2327284406936617,0.11842105263157894,0.881578947368421,2.8831068364037185,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,30,8,val,152,1.0,1.0,1.0,0.5510936583463855,0.7838220990400472,0.7030851248278328,0.2327284406936617,0.11842105263157894,0.881578947368421,2.8831068364037185,0.0
student::tree_classifier,probe_only,5,8,val,152,0.993421052631579,0.9938144814437677,0.9837461300309598,0.5796256051684491,0.7838220990400472,0.7394861740672034,0.20419649387159805,0.3815789473684211,0.618421052631579,2.668340001181142,0.006578947368421052
student::tree_classifier,semantic_pca8_plus_probe,5,8,val,152,0.993421052631579,0.9938144814437677,0.9837461300309598,0.5796256051684491,0.7838220990400472,0.7394861740672034,0.20419649387159805,0.3815789473684211,0.618421052631579,2.668340001181142,0.006578947368421052
student::histgb,semantic_pca8_plus_probe,5,8,val,152,0.993421052631579,0.9909996762302251,0.9923830772372186,0.5796256051684491,0.7838220990400472,0.7394861740672034,0.20419649387159805,0.3815789473684211,0.618421052631579,2.6855524022018846,0.006578947368421052
student::histgb,semantic_pca8_plus_probe,10,8,val,152,0.993421052631579,0.9909996762302251,0.9923830772372186,0.5796256051684491,0.7838220990400472,0.7394861740672034,0.20419649387159805,0.3815789473684211,0.618421052631579,2.6855524022018846,0.006578947368421052
student::histgb,probe_only,30,8,val,152,0.993421052631579,0.9870022035495899,0.9967561058032722,0.5576726057148065,0.7838220990400472,0.7114785439167794,0.22614949332524065,0.11842105263157894,0.881578947368421,2.8883694841341407,0.006578947368421052
student::histgb,semantic_pca8_plus_probe,30,8,val,152,0.993421052631579,0.9870022035495899,0.9971743469305513,0.5576726057148065,0.7838220990400472,0.7114785439167794,0.22614949332524065,0.11842105263157894,0.881578947368421,2.8883694841341407,0.006578947368421052
