replicate_seed,mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,new_model_id,examples_per_label,calibration_query_count,new_model_evaluations,labels_switching_to_new_model
0,0.7120689655172414,0.18448275862068966,0.7120689655172414,0.023639131634858174,random_route_state_calibration,16,0.6723275862068965,0.7397413793103448,0.0,0.1954887218045116,1.3492237703174015,4.0,3.0098489711591987,Qwen3-8B,8,128,128,5
0,0.7362068965517241,0.16034482758620688,0.7362068965517241,0.03547638376556506,dataset_stratified_calibration,16,0.7007327586206896,0.7689655172413793,0.0,0.30075187969924816,1.6474796733910742,4.0,3.0098489711591987,Qwen3-8B,8,128,128,6
0,0.7068965517241379,0.1896551724137931,0.7068965517241379,0.04809981879357047,embedding_cluster_calibration,16,0.6696120689655173,0.7371120689655172,0.0,0.17293233082706772,1.5810192591699002,4.0,3.0098489711591987,Qwen3-8B,8,128,128,7
0,0.7241379310344828,0.1724137931034483,0.7241379310344828,0.029124089420832888,uniform_route_state_calibration,16,0.6885775862068966,0.757801724137931,0.0,0.24812030075187988,1.5672456503049292,4.0,3.0098489711591987,Qwen3-8B,8,128,128,5
0,0.6844827586206896,0.2120689655172414,0.6844827586206896,0.08148478684933774,active_route_state_calibration,16,0.6481896551724138,0.7198706896551724,0.0,0.07518796992481215,1.3946598735409919,4.0,3.0098489711591987,Qwen3-8B,8,128,128,9
0,0.6017241379310345,0.29482758620689653,0.6017241379310345,0.284595990968417,direct_retraining_budgeted_logistic_active_budget,,0.5688793103448275,0.6500862068965516,0.0,-0.28571428571428525,0.9886202284080923,0.0,,Qwen3-8B,8,128,128,
0,0.6844827586206896,0.2120689655172414,0.6844827586206896,0.10484701327558736,routecode_no_new_model,16,0.6516379310344828,0.7242241379310344,0.0,0.07518796992481215,1.0066094245445623,4.0,3.122796266674295,Qwen2.5-Coder-7B-Instruct,0,0,0,
0,0.7068965517241379,0.1896551724137931,0.7068965517241379,0.05472786894275358,random_route_state_calibration,16,0.6758620689655173,0.7398275862068965,0.0,0.17293233082706772,1.1224703336744084,4.0,3.122796266674295,Qwen2.5-Coder-7B-Instruct,1,16,16,6
0,0.7,0.19655172413793104,0.7,0.09960311761787054,dataset_stratified_calibration,16,0.6672413793103448,0.7363793103448275,0.0,0.14285714285714285,1.318013058195445,4.0,3.122796266674295,Qwen2.5-Coder-7B-Instruct,1,16,16,3
0,0.696551724137931,0.2,0.696551724137931,0.06084592884904147,embedding_cluster_calibration,16,0.6655172413793103,0.7328448275862068,0.0,0.12781954887218042,1.0516804583482913,4.0,3.122796266674295,Qwen2.5-Coder-7B-Instruct,1,16,16,6
0,0.6775862068965517,0.2189655172413793,0.6775862068965517,0.054778986496960266,uniform_route_state_calibration,16,0.6456465517241379,0.7129741379310345,0.0,0.04511278195488729,1.561040733621717,4.0,3.122796266674295,Qwen2.5-Coder-7B-Instruct,1,16,16,7
0,0.6603448275862069,0.23620689655172414,0.6603448275862069,0.060133582758363245,active_route_state_calibration,16,0.6266810344827586,0.697456896551724,0.0,-0.03007518796992438,1.065073117789777,4.0,3.122796266674295,Qwen2.5-Coder-7B-Instruct,1,16,16,9
0,0.6672413793103448,0.2293103448275862,0.6672413793103448,0.15302827861865312,direct_retraining_budgeted_logistic_active_budget,,0.6326724137931035,0.7026293103448276,0.0,0.0,0.94444948269425,0.0,,Qwen2.5-Coder-7B-Instruct,1,16,16,
0,0.7224137931034482,0.17413793103448275,0.7224137931034482,0.09484802001615922,random_route_state_calibration,16,0.6956465517241379,0.76125,0.0,0.24060150375939843,1.3192561983961766,4.0,3.122796266674295,Qwen2.5-Coder-7B-Instruct,2,32,32,4
0,0.6982758620689655,0.19827586206896552,0.6982758620689655,0.09737102553130589,dataset_stratified_calibration,16,0.6663362068965517,0.7389224137931034,0.0,0.1353383458646619,1.413560593320265,4.0,3.122796266674295,Qwen2.5-Coder-7B-Instruct,2,32,32,4
0,0.7017241379310345,0.19482758620689655,0.7017241379310345,0.06899674895807267,embedding_cluster_calibration,16,0.6724137931034483,0.7423706896551724,0.0,0.1503759398496243,1.0939318377254221,4.0,3.122796266674295,Qwen2.5-Coder-7B-Instruct,2,32,32,5
0,0.6637931034482759,0.23275862068965517,0.6637931034482759,0.029871952481844943,uniform_route_state_calibration,16,0.6326724137931035,0.7051724137931035,0.0,-0.015037593984961947,0.9119949493045858,4.0,3.122796266674295,Qwen2.5-Coder-7B-Instruct,2,32,32,6
0,0.6810344827586207,0.21551724137931033,0.6810344827586207,0.10484701327558736,active_route_state_calibration,16,0.6456465517241379,0.7215948275862069,0.0,0.060150375939849725,1.0197740314814583,4.0,3.122796266674295,Qwen2.5-Coder-7B-Instruct,2,32,32,1
0,0.6655172413793103,0.23103448275862068,0.6655172413793103,0.15371302297134984,direct_retraining_budgeted_logistic_active_budget,,0.6301293103448276,0.7,0.0,-0.007518796992480974,0.9572867884608278,0.0,,Qwen2.5-Coder-7B-Instruct,2,32,32,
0,0.7275862068965517,0.16896551724137931,0.7275862068965517,0.08349092517159737,random_route_state_calibration,16,0.6947413793103449,0.7613362068965517,0.0,0.2631578947368423,1.100993031722869,4.0,3.122796266674295,Qwen2.5-Coder-7B-Instruct,4,64,64,8
0,0.7103448275862069,0.18620689655172415,0.7103448275862069,0.08938297288871762,dataset_stratified_calibration,16,0.681853448275862,0.7475431034482758,0.0,0.18796992481203015,1.471959375730004,4.0,3.122796266674295,Qwen2.5-Coder-7B-Instruct,4,64,64,5
0,0.7034482758620689,0.19310344827586207,0.7034482758620689,0.06481439142902827,embedding_cluster_calibration,16,0.6741379310344827,0.7413793103448276,0.0,0.15789473684210528,1.1233283126760145,4.0,3.122796266674295,Qwen2.5-Coder-7B-Instruct,4,64,64,5
