sensitivity_name,sensitivity_k,sensitivity_alpha,method,new_model_id,examples_per_label,replicates,mean_utility_mean,mean_utility_std,mean_utility_min,mean_utility_max,new_model_evaluations_mean,new_model_evaluations_min,new_model_evaluations_max,recovered_gap_vs_oracle_mean
k_32_alpha_3p0,32,3.0,dataset_stratified_calibration,DeepSeek-R1-Distill-Qwen-7B,4,2,0.739655,0.009753,0.732759,0.746552,123.5,123,124,0.282023
k_32_alpha_3p0,32,3.0,dataset_stratified_calibration,DeepSeek-R1-Distill-Qwen-7B,8,2,0.731034,0.002438,0.72931,0.732759,241.5,240,243,0.243079
k_32_alpha_3p0,32,3.0,dataset_stratified_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.707759,0.02804,0.687931,0.727586,32.0,32,32,0.136213
k_32_alpha_3p0,32,3.0,dataset_stratified_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.7,0.041451,0.67069,0.72931,123.0,123,123,0.100406
k_32_alpha_3p0,32,3.0,dataset_stratified_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.740517,0.003657,0.737931,0.743103,235.0,235,235,0.286176
k_32_alpha_3p0,32,3.0,dataset_stratified_calibration,Qwen3-8B,1,2,0.753448,0.007315,0.748276,0.758621,32.0,32,32,0.344869
k_32_alpha_3p0,32,3.0,dataset_stratified_calibration,Qwen3-8B,4,2,0.730172,0.047547,0.696552,0.763793,124.5,124,125,0.241048
k_32_alpha_3p0,32,3.0,dataset_stratified_calibration,Qwen3-8B,8,2,0.738793,0.001219,0.737931,0.739655,243.0,242,244,0.278424
k_32_alpha_3p0,32,3.0,direct_retraining_budgeted_logistic_active_budget,DeepSeek-R1-Distill-Qwen-7B,1,2,0.668103,0.013411,0.658621,0.677586,32.0,32,32,-0.042636
k_32_alpha_3p0,32,3.0,direct_retraining_budgeted_logistic_active_budget,DeepSeek-R1-Distill-Qwen-7B,4,2,0.668103,0.013411,0.658621,0.677586,123.5,123,124,-0.042636
k_32_alpha_3p0,32,3.0,direct_retraining_budgeted_logistic_active_budget,DeepSeek-R1-Distill-Qwen-7B,8,2,0.668966,0.012191,0.660345,0.677586,241.5,240,243,-0.03876
k_32_alpha_3p0,32,3.0,direct_retraining_budgeted_logistic_active_budget,Qwen2.5-Coder-7B-Instruct,1,2,0.651724,0.01463,0.641379,0.662069,32.0,32,32,-0.11711
k_32_alpha_3p0,32,3.0,direct_retraining_budgeted_logistic_active_budget,Qwen2.5-Coder-7B-Instruct,4,2,0.65,0.017068,0.637931,0.662069,123.0,123,123,-0.124862
k_32_alpha_3p0,32,3.0,direct_retraining_budgeted_logistic_active_budget,Qwen2.5-Coder-7B-Instruct,8,2,0.651724,0.019506,0.637931,0.665517,235.0,235,235,-0.116925
k_32_alpha_3p0,32,3.0,direct_retraining_budgeted_logistic_active_budget,Qwen3-8B,1,2,0.591379,0.017068,0.57931,0.603448,32.0,32,32,-0.392857
k_32_alpha_3p0,32,3.0,direct_retraining_budgeted_logistic_active_budget,Qwen3-8B,4,2,0.591379,0.017068,0.57931,0.603448,124.5,124,125,-0.392857
k_32_alpha_3p0,32,3.0,direct_retraining_budgeted_logistic_active_budget,Qwen3-8B,8,2,0.592241,0.015849,0.581034,0.603448,243.0,242,244,-0.388889
k_32_alpha_3p0,32,3.0,embedding_cluster_calibration,DeepSeek-R1-Distill-Qwen-7B,1,2,0.712069,0.007315,0.706897,0.717241,32.0,32,32,0.157161
k_32_alpha_3p0,32,3.0,embedding_cluster_calibration,DeepSeek-R1-Distill-Qwen-7B,4,2,0.743103,0.007315,0.737931,0.748276,123.5,123,124,0.297804
k_32_alpha_3p0,32,3.0,embedding_cluster_calibration,DeepSeek-R1-Distill-Qwen-7B,8,2,0.741379,0.004877,0.737931,0.744828,241.5,240,243,0.290052
k_32_alpha_3p0,32,3.0,embedding_cluster_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.723276,0.006096,0.718966,0.727586,32.0,32,32,0.208103
k_32_alpha_3p0,32,3.0,embedding_cluster_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.735345,0.001219,0.734483,0.736207,123.0,123,123,0.262735
k_32_alpha_3p0,32,3.0,embedding_cluster_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.689655,0.060957,0.646552,0.732759,235.0,235,235,0.052602
k_32_alpha_3p0,32,3.0,embedding_cluster_calibration,Qwen3-8B,1,2,0.728448,0.006096,0.724138,0.732759,32.0,32,32,0.231635
k_32_alpha_3p0,32,3.0,embedding_cluster_calibration,Qwen3-8B,4,2,0.731897,0.02804,0.712069,0.751724,124.5,124,125,0.246032
k_32_alpha_3p0,32,3.0,embedding_cluster_calibration,Qwen3-8B,8,2,0.744828,0.002438,0.743103,0.746552,243.0,242,244,0.306017
k_32_alpha_3p0,32,3.0,random_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,1,2,0.696552,0.019506,0.682759,0.710345,32.0,32,32,0.085548
k_32_alpha_3p0,32,3.0,random_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,4,2,0.693966,0.025602,0.675862,0.712069,123.5,123,124,0.073551
k_32_alpha_3p0,32,3.0,random_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,8,2,0.743966,0.006096,0.739655,0.748276,241.5,240,243,0.301772
k_32_alpha_3p0,32,3.0,random_route_state_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.644828,0.017068,0.632759,0.656897,32.0,32,32,-0.149686
k_32_alpha_3p0,32,3.0,random_route_state_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.725862,0.017068,0.713793,0.737931,123.0,123,123,0.220284
k_32_alpha_3p0,32,3.0,random_route_state_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.735345,0.001219,0.734483,0.736207,235.0,235,235,0.262828
k_32_alpha_3p0,32,3.0,random_route_state_calibration,Qwen3-8B,1,2,0.696552,0.039013,0.668966,0.724138,32.0,32,32,0.087763
k_32_alpha_3p0,32,3.0,random_route_state_calibration,Qwen3-8B,4,2,0.736207,0.01463,0.725862,0.746552,124.5,124,125,0.26615
k_32_alpha_3p0,32,3.0,random_route_state_calibration,Qwen3-8B,8,2,0.725,0.003657,0.722414,0.727586,243.0,242,244,0.215855
k_32_alpha_3p0,32,3.0,routecode_no_new_model,DeepSeek-R1-Distill-Qwen-7B,0,2,0.751724,0.009753,0.744828,0.758621,0.0,0,0,0.336932
k_32_alpha_3p0,32,3.0,routecode_no_new_model,Qwen2.5-Coder-7B-Instruct,0,2,0.678448,0.008534,0.672414,0.684483,0.0,0,0,0.003599
k_32_alpha_3p0,32,3.0,routecode_no_new_model,Qwen3-8B,0,2,0.736207,0.007315,0.731034,0.741379,0.0,0,0,0.266427
k_32_alpha_3p0,32,3.0,uniform_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,1,2,0.651724,0.017068,0.639655,0.663793,32.0,32,32,-0.117017
k_32_alpha_3p0,32,3.0,uniform_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,4,2,0.721552,0.030479,0.7,0.743103,123.5,123,124,0.201181
k_32_alpha_3p0,32,3.0,uniform_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,8,2,0.742241,0.001219,0.741379,0.743103,241.5,240,243,0.294205
k_32_alpha_3p0,32,3.0,uniform_route_state_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.656897,0.024383,0.639655,0.674138,32.0,32,32,-0.093208
k_32_alpha_3p0,32,3.0,uniform_route_state_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.680172,0.013411,0.67069,0.689655,123.0,123,123,0.012274
k_32_alpha_3p0,32,3.0,uniform_route_state_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.734483,0.002438,0.732759,0.736207,235.0,235,235,0.258952
k_32_alpha_3p0,32,3.0,uniform_route_state_calibration,Qwen3-8B,1,2,0.72069,0.012191,0.712069,0.72931,32.0,32,32,0.196567
k_32_alpha_3p0,32,3.0,uniform_route_state_calibration,Qwen3-8B,4,2,0.742241,0.025602,0.724138,0.760345,124.5,124,125,0.293189
k_32_alpha_3p0,32,3.0,uniform_route_state_calibration,Qwen3-8B,8,2,0.746552,0.01463,0.736207,0.756897,243.0,242,244,0.313215
k_8_alpha_3p0,8,3.0,active_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,1,2,0.657759,0.047547,0.624138,0.691379,8.0,8,8,-0.092008
k_8_alpha_3p0,8,3.0,active_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,4,2,0.762931,0.003657,0.760345,0.765517,32.0,32,32,0.388151
k_8_alpha_3p0,8,3.0,active_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,8,2,0.738793,0.030479,0.717241,0.760345,64.0,64,64,0.279623
