method,new_model_id,examples_per_label,replicates,mean_utility_mean,mean_utility_std,mean_utility_min,mean_utility_max,recovered_gap_vs_oracle_mean,new_model_evaluations_mean,new_model_evaluations_min,new_model_evaluations_max
random_route_state_calibration,Intern-S1-mini,2,3,0.736782,0.015644,0.718966,0.748276,0.303258,32.0,32,32
random_route_state_calibration,Intern-S1-mini,4,3,0.736207,0.006216,0.72931,0.741379,0.300752,64.0,64,64
random_route_state_calibration,Intern-S1-mini,8,3,0.741379,0.003448,0.737931,0.744828,0.323308,127.0,126,128
random_route_state_calibration,Llama-3.1-8B-Instruct,1,3,0.682184,0.010103,0.67069,0.689655,0.065163,16.0,16,16
random_route_state_calibration,Llama-3.1-8B-Instruct,2,3,0.713218,0.026505,0.682759,0.731034,0.200501,31.333333,30,32
random_route_state_calibration,Llama-3.1-8B-Instruct,4,3,0.706897,0.006216,0.701724,0.713793,0.172932,61.0,58,64
random_route_state_calibration,Llama-3.1-8B-Instruct,8,3,0.706897,0.014113,0.694828,0.722414,0.172932,118.333333,113,125
random_route_state_calibration,MiniCPM4.1-8B,1,3,0.72931,0.010488,0.717241,0.736207,0.270677,16.0,16,16
random_route_state_calibration,MiniCPM4.1-8B,2,3,0.73046,0.017441,0.710345,0.741379,0.275689,31.333333,31,32
random_route_state_calibration,MiniCPM4.1-8B,4,3,0.728736,0.019909,0.717241,0.751724,0.26817,61.333333,59,64
random_route_state_calibration,MiniCPM4.1-8B,8,3,0.741954,0.009804,0.731034,0.75,0.325815,119.333333,115,125
random_route_state_calibration,Qwen2.5-Coder-7B-Instruct,1,3,0.7,0.006897,0.693103,0.706897,0.142857,16.0,16,16
random_route_state_calibration,Qwen2.5-Coder-7B-Instruct,2,3,0.699425,0.026337,0.67069,0.722414,0.140351,31.666667,31,32
random_route_state_calibration,Qwen2.5-Coder-7B-Instruct,4,3,0.721264,0.006968,0.713793,0.727586,0.235589,62.666667,61,64
random_route_state_calibration,Qwen2.5-Coder-7B-Instruct,8,3,0.729885,0.009496,0.72069,0.739655,0.273183,123.333333,121,127
random_route_state_calibration,Qwen3-8B,1,3,0.725862,0.022546,0.7,0.741379,0.255639,16.0,16,16
random_route_state_calibration,Qwen3-8B,2,3,0.71954,0.014356,0.703448,0.731034,0.22807,32.0,32,32
random_route_state_calibration,Qwen3-8B,4,3,0.731034,0.017918,0.710345,0.741379,0.278195,63.333333,62,64
random_route_state_calibration,Qwen3-8B,8,3,0.728736,0.015644,0.712069,0.743103,0.26817,126.0,122,128
routecode_no_new_model,DeepSeek-R1-Distill-Qwen-7B,0,3,0.737356,0.012232,0.724138,0.748276,0.305764,0.0,0,0
routecode_no_new_model,Intern-S1-mini,0,3,0.741379,0.005172,0.736207,0.746552,0.323308,0.0,0,0
routecode_no_new_model,Llama-3.1-8B-Instruct,0,3,0.729885,0.006968,0.725862,0.737931,0.273183,0.0,0,0
routecode_no_new_model,MiniCPM4.1-8B,0,3,0.742529,0.007178,0.734483,0.748276,0.328321,0.0,0,0
routecode_no_new_model,Qwen2.5-Coder-7B-Instruct,0,3,0.682759,0.002986,0.67931,0.684483,0.067669,0.0,0,0
routecode_no_new_model,Qwen3-8B,0,3,0.73046,0.007178,0.722414,0.736207,0.275689,0.0,0,0
uniform_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,1,3,0.624138,0.026766,0.596552,0.65,-0.18797,16.0,16,16
uniform_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,2,3,0.704023,0.012709,0.689655,0.713793,0.160401,32.0,32,32
uniform_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,4,3,0.694828,0.020975,0.67069,0.708621,0.120301,63.333333,62,64
uniform_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,8,3,0.721264,0.000995,0.72069,0.722414,0.235589,126.0,122,128
uniform_route_state_calibration,Intern-S1-mini,1,3,0.677011,0.074165,0.591379,0.72069,0.042607,16.0,16,16
