k,state_id,n_queries,train_queries,val_queries,test_queries,mean_query_to_centroid_cosine,top_benchmark,top_benchmark_frac,top_domain,top_domain_frac,mean_qwen4b_quality,qwen4b_success_rate,mean_local_valid_count,mean_local_missing_count,mean_local_unique_answer_count,mean_local_vote_frac,mean_local_vote_margin,mean_local_vote_entropy,mean_local_all_agree,mean_small_valid_count,mean_small_unique_answer_count,mean_medium_valid_count,mean_medium_unique_answer_count,mean_small_medium_agree,mean_small_medium_disagree,mean_q4_q8_agree,mean_q4_q14_agree,mean_q8_q14_agree,mean_q14_q32_agree,mean_q32_sc_agree,mean_sc_vote_frac,mean_sc_vote_margin,mean_sc_vote_entropy,mean_sc_all_samples_agree,mean_q4_lp_logprob_mean,mean_q4_lp_logprob_min,mean_q4_lp_logprob_margin_mean,mean_q4_lp_logprob_margin_min,mean_q4_lp_logprob_first_token_margin
24,u12,14,8,5,1,0.508222209280663,humaneval,0.35714285714285715,code,0.5714285714285714,0.0,0.0,5.0,1.0,3.2142857142857144,0.47142857142857153,0.18571428571428572,1.5181472019374993,0.0,2.0,1.5714285714285714,2.0,2.0,0.35714285714285715,0.6428571428571429,0.42857142857142855,0.35714285714285715,0.5,0.0,0.5,0.8095238095238094,0.6666666666666667,0.48879345269001934,0.5714285714285714,-0.01322075752426693,-0.12396549539906639,2.9757254371031885,0.0982142835855484,1.0714285919344289
24,u13,16,14,1,1,0.4805041394209164,math500,0.25,math,0.375,0.0,0.0,5.125,0.875,3.5625,0.4416666666666667,0.18333333333333332,1.6942685413958332,0.0,2.0,1.375,2.0,2.0,0.0,1.0,0.625,0.0,0.0,0.0,0.25,0.7708333333333333,0.5833333333333333,0.5998747399889837,0.4375,-0.029053731034363484,-0.35053983330726624,9.102416969807964,0.2656250037252903,3.7812500440807355
24,u14,29,20,3,6,0.5105781284053076,mbpp,0.3793103448275862,code,0.7241379310344828,0.0,0.0,5.0344827586206895,0.9655172413793104,2.3448275862068964,0.706896551724138,0.4816091954022988,0.9643886059061114,0.0,2.0,2.0,2.0,1.2758620689655173,0.034482758620689655,0.9655172413793104,0.0,0.034482758620689655,0.8620689655172413,0.7241379310344828,0.7931034482758621,0.9195402298850573,0.8390804597701149,0.22165761511660093,0.7586206896551724,-0.021675515608833316,-0.1615622351909506,2.518318961139604,0.04741379310344827,1.9396551720286652
24,u15,15,12,2,1,0.6196534199659767,gsm8k,0.5333333333333333,math_easy,0.5333333333333333,1.0,1.0,5.0,1.0,2.6,0.6399999999999999,0.40000000000000013,1.1611460945412075,0.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2,0.6444444444444444,0.4222222222222222,0.8788638893696596,0.3333333333333333,-0.015287344832987172,-0.17579003671805063,5.070833323593169,0.2499999910593033,2.8833333220893187
24,u16,28,15,8,5,0.5260359407920826,mbpp,0.4642857142857143,code,0.75,1.0,1.0,5.0,1.0,2.2857142857142856,0.7000000000000001,0.45714285714285713,0.9467186305089281,0.0,2.0,2.0,2.0,1.2857142857142858,0.7857142857142857,0.21428571428571427,0.0,0.7857142857142857,0.03571428571428571,0.7142857142857143,0.8214285714285714,0.9285714285714286,0.869047619047619,0.18779092274782552,0.8214285714285714,-0.010804511303542957,-0.13550028524228505,3.037109373906166,0.09374999893563134,1.3392857180255768
24,u17,22,15,5,2,0.5197484784570787,gsm8k,0.5,math_easy,0.5,1.0,1.0,5.045454545454546,0.9545454545454546,3.6818181818181817,0.4606060606060606,0.2530303030303031,1.715971211602855,0.0,2.0,2.0,2.0,1.9545454545454546,0.0,1.0,0.0,0.0,0.0,0.045454545454545456,0.5909090909090909,0.8181818181818183,0.6818181818181818,0.4665755684768367,0.5909090909090909,-0.007729182282784867,-0.0836421363055706,2.766246443012746,0.17045455053448677,1.8693181730176642
24,u18,7,7,0,0,0.562102126934264,gpqa,0.2857142857142857,math,0.5714285714285714,0.14285714285714285,0.14285714285714285,5.285714285714286,0.7142857142857143,4.0,0.3619047619047619,0.08571428571428572,1.8256522108398747,0.0,2.0,1.7142857142857142,2.0,1.5714285714285714,0.0,1.0,0.2857142857142857,0.0,0.0,0.42857142857142855,0.14285714285714285,0.47619047619047616,0.14285714285714285,1.2992482150068707,0.0,-0.02746764624283973,-0.2561562146459307,7.323660708159685,0.6607143027441842,4.392857129500563
24,u19,21,11,6,4,0.4795291342050622,mmlupro,0.47619047619047616,broad_knowledge,0.47619047619047616,0.14285714285714285,0.14285714285714285,5.0,1.0,3.1904761904761907,0.5142857142857143,0.2666666666666667,1.4978392852399263,0.0,2.0,1.4761904761904763,2.0,2.0,0.14285714285714285,0.8571428571428571,0.5238095238095238,0.14285714285714285,0.0,0.0,0.3333333333333333,0.8412698412698412,0.6984126984126984,0.4253013891979559,0.5714285714285714,-0.09873982353878319,-0.711615151060479,9.200334794784435,0.4761904760130814,4.8452380107333965
24,u20,13,8,3,2,0.5944783678579507,gpqa,0.7692307692307693,science,0.7692307692307693,0.3076923076923077,0.3076923076923077,5.076923076923077,0.9230769230769231,3.076923076923077,0.5153846153846153,0.24102564102564106,1.434746799021396,0.0,2.0,1.6923076923076923,2.0,1.6153846153846154,0.15384615384615385,0.8461538461538461,0.3076923076923077,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.8974358974358974,0.7948717948717948,0.2825525643244583,0.6923076923076923,-0.08874361203763567,-0.5311183533989466,8.259314895955034,0.5865384598190968,3.4038461884573374
24,u21,13,9,3,1,0.4938355964693755,gsm8k,0.46153846153846156,math_easy,0.46153846153846156,0.0,0.0,5.0,1.0,2.6923076923076925,0.6615384615384615,0.4615384615384616,1.1637094408082196,0.0,2.0,2.0,2.0,1.2307692307692308,0.0,1.0,0.0,0.0,1.0,0.7692307692307693,0.38461538461538464,0.8461538461538461,0.7435897435897435,0.38511666688856094,0.6923076923076923,-0.021057574874437473,-0.19669410357108483,3.6890023960294176,0.08653845695348886,1.9999999656760197
24,u22,6,5,0,1,0.5866556919499378,gsm8k,0.5,math_easy,0.5,0.0,0.0,5.0,1.0,3.3333333333333335,0.4666666666666666,0.19999999999999998,1.6049355947431312,0.0,2.0,1.8333333333333333,2.0,2.0,0.5,0.5,0.16666666666666666,0.5,0.3333333333333333,0.0,0.6666666666666666,0.9444444444444445,0.8888888888888888,0.15304930567574826,0.8333333333333334,-0.0013392474950156,-0.02115547905365625,3.417968745609045,0.3333333308498065,0.3333333308498065
24,u23,10,5,2,3,0.6250138197109836,gsm8k,0.8,math_easy,0.8,1.0,1.0,5.0,1.0,2.5,0.6799999999999999,0.45999999999999996,1.071341594627746,0.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1,0.7333333333333333,0.4999999999999999,0.7094737505048094,0.3,-0.009547436518021559,-0.14602882266044617,3.371874998042933,0.025,1.0249999807099812
