mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,pool_family,pool_name,model_count,models,d2_alpha,d2_beta,train_best_single_model,train_oracle_gap,train_dominance_ratio,train_winner_entropy,test_best_single_model,test_oracle_gap,test_dominance_ratio,test_winner_entropy
0.7413793103448276,0.1896551724137931,0.7413793103448276,0.05096896182614397,d2_embedding_centroid,8,0.7015517241379311,0.7733189655172413,0.9523809523809539,0.15384615384615416,1.629742340781258,3.0,2.2388013518062033,complementary,complementary_8,8,GLM-Z1-9B-0414;Qwen2.5-Coder-7B-Instruct;Qwen3-8B;cogito-v1-preview-llama-8B;internlm3-8b-instruct;MiniCPM4.1-8B;gemma-2-9b-it;NVIDIA-Nemotron-Nano-9B-v2,3.0,0.0,GLM-Z1-9B-0414,0.23302646720368236,0.7669735327963176,1.289965809199543,GLM-Z1-9B-0414,0.22413793103448276,0.7758620689655172,1.2320458428330352
0.7068965517241379,0.18448275862068966,0.7068965517241379,0.0,best_single,,0.670603448275862,0.7353879310344827,0.0,0.0,0.0,0.0,,dominated,dominated_8,8,GLM-Z1-9B-0414;OpenThinker3-7B;MiMo-7B-RL-0530;DeepSeek-R1-Distill-Qwen-7B;Llama-3.1-Nemotron-Nano-8B-v1;Intern-S1-mini;MiniCPM4.1-8B;DeepSeek-R1-0528-Qwen3-8B,,,GLM-Z1-9B-0414,0.16800920598388946,0.8319907940161104,1.1107909144572168,GLM-Z1-9B-0414,0.18448275862068964,0.8155172413793104,1.1900078443772917
0.7137931034482758,0.17758620689655172,0.7137931034482758,0.05092462574118722,kNN,,0.680948275862069,0.7457327586206897,1.0,0.03738317757009354,2.3389928856303026,0.0,,dominated,dominated_8,8,GLM-Z1-9B-0414;OpenThinker3-7B;MiMo-7B-RL-0530;DeepSeek-R1-Distill-Qwen-7B;Llama-3.1-Nemotron-Nano-8B-v1;Intern-S1-mini;MiniCPM4.1-8B;DeepSeek-R1-0528-Qwen3-8B,,,GLM-Z1-9B-0414,0.16800920598388946,0.8319907940161104,1.1107909144572168,GLM-Z1-9B-0414,0.18448275862068964,0.8155172413793104,1.1900078443772917
0.6896551724137931,0.20172413793103447,0.6896551724137931,0.04253458066359697,d2_embedding_centroid,8,0.6525431034482758,0.7146982758620689,-2.499999999999984,-0.09345794392523324,1.5652096809086484,3.0,2.160964973718588,dominated,dominated_8,8,GLM-Z1-9B-0414;OpenThinker3-7B;MiMo-7B-RL-0530;DeepSeek-R1-Distill-Qwen-7B;Llama-3.1-Nemotron-Nano-8B-v1;Intern-S1-mini;MiniCPM4.1-8B;DeepSeek-R1-0528-Qwen3-8B,3.0,0.0,GLM-Z1-9B-0414,0.16800920598388946,0.8319907940161104,1.1107909144572168,GLM-Z1-9B-0414,0.18448275862068964,0.8155172413793104,1.1900078443772917
0.7068965517241379,0.2482758620689655,0.7068965517241379,0.0,best_single,,0.6741379310344827,0.743103448275862,0.0,0.0,0.0,0.0,,top,top_12,12,GLM-Z1-9B-0414;Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;Fin-R1;DeepSeek-R1-0528-Qwen3-8B;Qwen2.5-Coder-7B-Instruct;MiniCPM4.1-8B;Intern-S1-mini;internlm3-8b-instruct;Llama-3.1-Nemotron-Nano-8B-v1;DeepSeek-R1-Distill-Qwen-7B;gemma-2-9b-it,,,GLM-Z1-9B-0414,0.24683544303797467,0.7531645569620253,1.4794433970128582,GLM-Z1-9B-0414,0.24827586206896557,0.7517241379310344,1.5042373111328415
0.743103448275862,0.2120689655172414,0.743103448275862,0.04904147903588488,kNN,,0.7008189655172413,0.7715948275862069,1.0,0.14583333333333337,2.9517034547150067,0.0,,top,top_12,12,GLM-Z1-9B-0414;Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;Fin-R1;DeepSeek-R1-0528-Qwen3-8B;Qwen2.5-Coder-7B-Instruct;MiniCPM4.1-8B;Intern-S1-mini;internlm3-8b-instruct;Llama-3.1-Nemotron-Nano-8B-v1;DeepSeek-R1-Distill-Qwen-7B;gemma-2-9b-it,,,GLM-Z1-9B-0414,0.24683544303797467,0.7531645569620253,1.4794433970128582,GLM-Z1-9B-0414,0.24827586206896557,0.7517241379310344,1.5042373111328415
0.746551724137931,0.20862068965517241,0.746551724137931,0.06337682017237338,d2_embedding_centroid,12,0.7100862068965518,0.7767672413793103,1.0952380952380953,0.1597222222222223,2.08881369444675,3.584962500721156,2.856460512311924,top,top_12,12,GLM-Z1-9B-0414;Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;Fin-R1;DeepSeek-R1-0528-Qwen3-8B;Qwen2.5-Coder-7B-Instruct;MiniCPM4.1-8B;Intern-S1-mini;internlm3-8b-instruct;Llama-3.1-Nemotron-Nano-8B-v1;DeepSeek-R1-Distill-Qwen-7B;gemma-2-9b-it,3.0,0.0,GLM-Z1-9B-0414,0.24683544303797467,0.7531645569620253,1.4794433970128582,GLM-Z1-9B-0414,0.24827586206896557,0.7517241379310344,1.5042373111328415
0.7068965517241379,0.2482758620689655,0.7068965517241379,0.0,best_single,,0.6619827586206897,0.7389224137931034,0.0,0.0,0.0,0.0,,complementary,complementary_12,12,GLM-Z1-9B-0414;Qwen2.5-Coder-7B-Instruct;Qwen3-8B;cogito-v1-preview-llama-8B;internlm3-8b-instruct;MiniCPM4.1-8B;gemma-2-9b-it;NVIDIA-Nemotron-Nano-9B-v2;DeepSeek-R1-0528-Qwen3-8B;Llama-3.1-8B-Instruct;Llama-3.1-Nemotron-Nano-8B-v1;Fin-R1,,,GLM-Z1-9B-0414,0.24913693901035672,0.7508630609896433,1.4339143411409392,GLM-Z1-9B-0414,0.24827586206896557,0.7517241379310344,1.4217217833780127
0.7448275862068966,0.2103448275862069,0.7448275862068966,0.04069688016588803,kNN,,0.7051724137931035,0.7810344827586206,1.0,0.15277777777777804,2.9706600882501024,0.0,,complementary,complementary_12,12,GLM-Z1-9B-0414;Qwen2.5-Coder-7B-Instruct;Qwen3-8B;cogito-v1-preview-llama-8B;internlm3-8b-instruct;MiniCPM4.1-8B;gemma-2-9b-it;NVIDIA-Nemotron-Nano-9B-v2;DeepSeek-R1-0528-Qwen3-8B;Llama-3.1-8B-Instruct;Llama-3.1-Nemotron-Nano-8B-v1;Fin-R1,,,GLM-Z1-9B-0414,0.24913693901035672,0.7508630609896433,1.4339143411409392,GLM-Z1-9B-0414,0.24827586206896557,0.7517241379310344,1.4217217833780127
0.7327586206896551,0.22241379310344828,0.7327586206896551,0.04420605814532789,d2_embedding_centroid,12,0.7006465517241379,0.7707758620689654,0.6818181818181803,0.10416666666666663,1.9478025998677884,3.584962500721156,2.543069729074524,complementary,complementary_12,12,GLM-Z1-9B-0414;Qwen2.5-Coder-7B-Instruct;Qwen3-8B;cogito-v1-preview-llama-8B;internlm3-8b-instruct;MiniCPM4.1-8B;gemma-2-9b-it;NVIDIA-Nemotron-Nano-9B-v2;DeepSeek-R1-0528-Qwen3-8B;Llama-3.1-8B-Instruct;Llama-3.1-Nemotron-Nano-8B-v1;Fin-R1,3.0,0.0,GLM-Z1-9B-0414,0.24913693901035672,0.7508630609896433,1.4339143411409392,GLM-Z1-9B-0414,0.24827586206896557,0.7517241379310344,1.4217217833780127
